question,answer,risk_severity,nist_pillar,achivement_type,identified_risk,remediation_plan,policy_document_link,id
Data relating to the security and operation of your essential services is not collected?,yes,High,Detect,Not Achieved,Data relating to the security and operation of essential services not collected,1. Implement robust logging mechanisms across essential services.                                                          2. Deploy security information and event management (SIEM) systems to aggregate and analyze logs.                                                                                                                                                                         3. Regularly review and update logging configurations.,Policy is not availble,609
Data relating to the security and operation of your essential services is not collected?,no,No risk,Detect,Not Achieved,Data relating to the security and operation of essential services not collected,1. Implement robust logging mechanisms across essential services.                                                          2. Deploy security information and event management (SIEM) systems to aggregate and analyze logs.                                                                                                                                                                         3. Regularly review and update logging configurations.,Policy is not availble,610
"You do not confidently detect the presence or absence of Indicators of Compromise (IoCs) on your essential services, such as known malicious command and control signatures (e.g. because applying the indicator is difficult or your logging data is not sufficiently detailed)?",yes,High,Detect,Not Achieved,Difficulty in confidently detecting presence or absence of IoCs,"1. Enhance logging and monitoring capabilities to capture detailed data.                                                        2. Implement threat intelligence feeds for IoC detection, Conduct regular testing and validation of IoC detection mechanisms.",Policy is not availble,611
"You do not confidently detect the presence or absence of Indicators of Compromise (IoCs) on your essential services, such as known malicious command and control signatures (e.g. because applying the indicator is difficult or your logging data is not sufficiently detailed)?",no,No risk,Detect,Not Achieved,Difficulty in confidently detecting presence or absence of IoCs,"1. Enhance logging and monitoring capabilities to capture detailed data.                                                        2. Implement threat intelligence feeds for IoC detection, Conduct regular testing and validation of IoC detection mechanisms.",Policy is not availble,612
You are not able to audit the activities of users in relation to your essential service?,yes,High,Detect,Not Achieved,Inability to audit user activities in relation to essential service,1. Implement user activity monitoring tools and solutions.                                                                            2. Define and enforce user activity monitoring policies.                                                                                              3. Provide training to staff on acceptable use policies and monitoring expectations.,Policy is not availble,613
You are not able to audit the activities of users in relation to your essential service?,no,No risk,Detect,Not Achieved,Inability to audit user activities in relation to essential service,1. Implement user activity monitoring tools and solutions.                                                                            2. Define and enforce user activity monitoring policies.                                                                                              3. Provide training to staff on acceptable use policies and monitoring expectations.,Policy is not availble,614
You do not capture any traffic crossing your network boundary including as a minimum IP connections?,yes,High,Detect,Not Achieved,Failure to capture network traffic crossing the network boundary,1. Deploy network intrusion detection/prevention systems (IDS/IPS)                                                                 2. Configure network devices to capture and log traffic.                                                                                              3. Regularly review and analyze network traffic logs for anomalies and potential threats.,Policy is not availble,615
You do not capture any traffic crossing your network boundary including as a minimum IP connections?,no,No risk,Detect,Not Achieved,Failure to capture network traffic crossing the network boundary,1. Deploy network intrusion detection/prevention systems (IDS/IPS)                                                                 2. Configure network devices to capture and log traffic.                                                                                              3. Regularly review and analyze network traffic logs for anomalies and potential threats.,Policy is not availble,616
Data relating to the security and operation of some areas of your essential services is collected?,yes,Medium,Detect,Partially Achieved,Partial collection of data relating to security and operation of essential services,1. Identify areas lacking in data collection and prioritize them for improvement.                                          2. Allocate resources to enhance data collection capabilities in critical areas.                                                3. Conduct regular assessments to ensure comprehensive data coverage.,Policy is not availble,617
Data relating to the security and operation of some areas of your essential services is collected?,no,No risk,Detect,Partially Achieved,Partial collection of data relating to security and operation of essential services,1. Identify areas lacking in data collection and prioritize them for improvement.                                          2. Allocate resources to enhance data collection capabilities in critical areas.                                                3. Conduct regular assessments to ensure comprehensive data coverage.,Policy is not availble,618
"You easily detect the presence or absence of IoCs on your essential services, such as known malicious command and control signatures?",yes,Medium,Detect,Partially Achieved,Partial detection of IoCs,1. Enhance IoC detection capabilities through improved threat intelligence integration.                               2. Conduct regular training for security personnel on IoC identification and response.                                   3. Implement automated IoC detection and response workflows.,Policy is not availble,619
"You easily detect the presence or absence of IoCs on your essential services, such as known malicious command and control signatures?",no,No risk,Detect,Partially Achieved,Partial detection of IoCs,1. Enhance IoC detection capabilities through improved threat intelligence integration.                               2. Conduct regular training for security personnel on IoC identification and response.                                   3. Implement automated IoC detection and response workflows.,Policy is not availble,620
"Some user monitoring is done, but not covering a fully agreed list of suspicious or undesirable behaviour?",yes,Medium,Detect,Partially Achieved,Partial monitoring of user activities,"1. Define and agree upon a comprehensive list of suspicious or undesirable behaviors for monitoring.                                                                                                                                                           2. Expand user monitoring coverage to address all agreed-upon behaviors, Regularly review and update the list of monitored behaviors.",Policy is not availble,621
"Some user monitoring is done, but not covering a fully agreed list of suspicious or undesirable behaviour?",no,No risk,Detect,Partially Achieved,Partial monitoring of user activities,"1. Define and agree upon a comprehensive list of suspicious or undesirable behaviors for monitoring.                                                                                                                                                           2. Expand user monitoring coverage to address all agreed-upon behaviors, Regularly review and update the list of monitored behaviors.",Policy is not availble,622
You monitor traffic crossing your network boundary (including IP address connections as a minimum)?,yes,Medium,Detect,Partially Achieved,Partial monitoring of network traffic,1. Expand network monitoring capabilities to cover all network boundaries and traffic types.            2. Implement automated alerting mechanisms for suspicious network activity.                                         3. Regularly review and update network monitoring configurations.,Policy is not availble,623
You monitor traffic crossing your network boundary (including IP address connections as a minimum)?,no,No risk,Detect,Partially Achieved,Partial monitoring of network traffic,1. Expand network monitoring capabilities to cover all network boundaries and traffic types.            2. Implement automated alerting mechanisms for suspicious network activity.                                         3. Regularly review and update network monitoring configurations.,Policy is not availble,624
"Monitoring is based on an understanding of your networks, common cyber attack methods and what you need awareness of in order to detect potential security incidents that could affect your essential service. (e.g. presence of malware, malicious emails, user policy violations)?",no,Low,Detect,Achieved,Monitoring based on an understanding of networks and cyber attack methods,"1. Conduct regular threat intelligence assessments to update understanding of cyber attack methods.                                                                                                                                                                        2. Provide continuous training for security personnel on emerging threats and attack methods, Implement proactive threat hunting activities.",Policy is not availble,625
"Monitoring is based on an understanding of your networks, common cyber attack methods and what you need awareness of in order to detect potential security incidents that could affect your essential service. (e.g. presence of malware, malicious emails, user policy violations)?",yes,No risk,Detect,Achieved,Monitoring based on an understanding of networks and cyber attack methods,"1. Conduct regular threat intelligence assessments to update understanding of cyber attack methods.                                                                                                                                                                        2. Provide continuous training for security personnel on emerging threats and attack methods, Implement proactive threat hunting activities.",Policy is not availble,626
Your monitoring data provides enough detail to reliably detect security incidents that could affect your essential service?,no,Medium,Detect,Achieved,Monitoring data lacks sufficient detail for reliable security incident detection,1. Enhance logging and monitoring configurations to capture more detailed information.                             2. Implement advanced analytics and correlation techniques to enhance incident detection capabilities.,Policy is not availble,627
Your monitoring data provides enough detail to reliably detect security incidents that could affect your essential service?,yes,No risk,Detect,Achieved,Monitoring data lacks sufficient detail for reliable security incident detection,1. Enhance logging and monitoring configurations to capture more detailed information.                             2. Implement advanced analytics and correlation techniques to enhance incident detection capabilities.,Policy is not availble,628
"You easily detect the presence or absence of IoCs on your essential services, such as known malicious command and control signatures?",no,Low,Detect,Achieved,Extensive monitoring of user activity enables detection of policy violations,"1. Implement robust user activity monitoring solutions with policy violation detection capabilities.                                                                                                                                                             2. Define clear policies and guidelines for acceptable user behavior,  Provide training to staff on policy compliance and monitoring expectations.",Policy is not availble,629
"You easily detect the presence or absence of IoCs on your essential services, such as known malicious command and control signatures?",yes,No risk,Detect,Achieved,Extensive monitoring of user activity enables detection of policy violations,"1. Implement robust user activity monitoring solutions with policy violation detection capabilities.                                                                                                                                                             2. Define clear policies and guidelines for acceptable user behavior,  Provide training to staff on policy compliance and monitoring expectations.",Policy is not availble,630
Extensive monitoring of user activity in relation to essential services enables you to detect policy violations and an agreed list of suspicious or undesirable behaviour?,no,Low,Detect,Achieved,Extensive monitoring coverage including host-based and network gateways,1. Deploy host-based monitoring solutions on critical systems and endpoints.                                                   2. Integrate network gateways into comprehensive monitoring infrastructure.                                                      3. Regularly review and update monitoring coverage to include new systems and technologies.,Policy is not availble,631
Extensive monitoring of user activity in relation to essential services enables you to detect policy violations and an agreed list of suspicious or undesirable behaviour?,yes,No risk,Detect,Achieved,Extensive monitoring coverage including host-based and network gateways,1. Deploy host-based monitoring solutions on critical systems and endpoints.                                                   2. Integrate network gateways into comprehensive monitoring infrastructure.                                                      3. Regularly review and update monitoring coverage to include new systems and technologies.,Policy is not availble,632
You have extensive monitoring coverage that includes host-based monitoring and network gateways?,no,Low,Detect,Achieved,Consideration of new systems as potential monitoring data sources,1. Develop a systematic process for evaluating and integrating new systems into the monitoring infrastructure.                                                                                                                                                          2 . Conduct regular reviews to identify and include new monitoring sources.,Policy is not availble,633
You have extensive monitoring coverage that includes host-based monitoring and network gateways?,yes,No risk,Detect,Achieved,Consideration of new systems as potential monitoring data sources,1. Develop a systematic process for evaluating and integrating new systems into the monitoring infrastructure.                                                                                                                                                          2 . Conduct regular reviews to identify and include new monitoring sources.,Policy is not availble,634
All new systems are considered as potential monitoring data sources to maintain a comprehensive monitoring approach?,no,Low,Detect,Achieved,Consideration of new systems as potential monitoring data sources,1. Develop a systematic process for evaluating and integrating new systems into the monitoring infrastructure.                                                                                                                                                      2. Ensure monitoring requirements are included in the system development lifecycle.                                 3. Conduct regular reviews to identify and include new monitoring sources.,Policy is not availble,635
All new systems are considered as potential monitoring data sources to maintain a comprehensive monitoring approach?,yes,No risk,Detect,Achieved,Consideration of new systems as potential monitoring data sources,1. Develop a systematic process for evaluating and integrating new systems into the monitoring infrastructure.                                                                                                                                                      2. Ensure monitoring requirements are included in the system development lifecycle.                                 3. Conduct regular reviews to identify and include new monitoring sources.,Policy is not availble,636
It is possible for logging data to be easily edited or deleted by unauthorized users or malicious attackers?,yes,High,Detect,Not Achieved,Logging data easily edited or deleted by unauthorized users or attackers,1. Implement robust access controls to restrict modification and deletion of logging data. 2. Enable logging integrity checks to detect unauthorized alterations. 3. Regularly review access logs and audit trails for suspicious activities.,Policy is not availble,637
It is possible for logging data to be easily edited or deleted by unauthorized users or malicious attackers?,no,No risk,Detect,Not Achieved,Logging data easily edited or deleted by unauthorized users or attackers,1. Implement robust access controls to restrict modification and deletion of logging data. 2. Enable logging integrity checks to detect unauthorized alterations. 3. Regularly review access logs and audit trails for suspicious activities.,Policy is not availble,638
There is no controlled list of who can view and query logging information?,yes,High,Detect,Not Achieved,Lack of controlled list of who can view and query logging information,1. Establish role-based access control mechanisms for logging data. 2. Define and enforce access policies specifying who can access and query logging information. 3. Conduct regular access reviews to ensure compliance with access control policies.,Policy is not availble,639
There is no controlled list of who can view and query logging information?,no,No risk,Detect,Not Achieved,Lack of controlled list of who can view and query logging information,1. Establish role-based access control mechanisms for logging data. 2. Define and enforce access policies specifying who can access and query logging information. 3. Conduct regular access reviews to ensure compliance with access control policies.,Policy is not availble,640
There is no monitoring of the access to logging data?,yes,High,Detect,Not Achieved,Absence of monitoring for access to logging data,1. Implement logging and alerting mechanisms for access to logging data. 2. Monitor and analyze access logs for unauthorized access attempts. 3. Establish incident response procedures for handling unauthorized access to logging data.,Policy is not availble,641
There is no monitoring of the access to logging data?,no,No risk,Detect,Not Achieved,Absence of monitoring for access to logging data,1. Implement logging and alerting mechanisms for access to logging data. 2. Monitor and analyze access logs for unauthorized access attempts. 3. Establish incident response procedures for handling unauthorized access to logging data.,Policy is not availble,642
There is no policy for accessing logging data?,yes,High,Detect,Not Achieved,Lack of policy for accessing logging data,1. Develop and implement logging access policies outlining permissible use and access procedures. 2. Provide training to staff on logging data access policies and procedures. 3. Enforce policy compliance through regular audits and assessments.,Policy is not availble,643
There is no policy for accessing logging data?,no,No risk,Detect,Not Achieved,Lack of policy for accessing logging data,1. Develop and implement logging access policies outlining permissible use and access procedures. 2. Provide training to staff on logging data access policies and procedures. 3. Enforce policy compliance through regular audits and assessments.,Policy is not availble,644
"Logging is not synchronized, using an accurate common time source?",yes,High,Detect,Not Achieved,Logging not synchronized using an accurate common time source,1. Implement time synchronization protocols such as Network Time Protocol (NTP) for logging systems. 2. Ensure consistency in timestamps across logging data sources. 3. Regularly monitor and verify time synchronization to maintain accuracy.,Policy is not availble,645
"Logging is not synchronized, using an accurate common time source?",no,No risk,Detect,Not Achieved,Logging not synchronized using an accurate common time source,1. Implement time synchronization protocols such as Network Time Protocol (NTP) for logging systems. 2. Ensure consistency in timestamps across logging data sources. 3. Regularly monitor and verify time synchronization to maintain accuracy.,Policy is not availble,646
Only authorized staff can view logging data for investigations?,yes,Medium,Detect,Partially Achieved,Only authorized staff can view logging data for investigations,1. Define clear criteria for authorizing staff to access logging data. 2. Implement role-based access controls to restrict access to authorized personnel only. 3. Conduct regular access reviews to ensure compliance with access policies.,Policy is not availble,647
Only authorized staff can view logging data for investigations?,no,No risk,Detect,Partially Achieved,Only authorized staff can view logging data for investigations,1. Define clear criteria for authorizing staff to access logging data. 2. Implement role-based access controls to restrict access to authorized personnel only. 3. Conduct regular access reviews to ensure compliance with access policies.,Policy is not availble,648
Privileged users can view logging information?,yes,Medium,Detect,Partially Achieved,Privileged users can view logging information,1. Implement least privilege principles to limit access to logging information among privileged users. 2. Monitor and audit privileged user access to logging data. 3. Provide training to privileged users on their responsibilities regarding logging data access.,Policy is not availble,649
Privileged users can view logging information?,no,No risk,Detect,Partially Achieved,Privileged users can view logging information,1. Implement least privilege principles to limit access to logging information among privileged users. 2. Monitor and audit privileged user access to logging data. 3. Provide training to privileged users on their responsibilities regarding logging data access.,Policy is not availble,650
"There is some monitoring of access to logging data (e.g. copying, deleting, or modification, or even viewing)?",yes,Medium,Detect,Partially Achieved,Partial monitoring of access to logging data,1. Enhance monitoring capabilities to cover all access activities related to logging data. 2. Implement automated alerting for suspicious access to logging data. 3. Regularly review and update access monitoring configurations to address emerging threats.,Policy is not availble,651
"There is some monitoring of access to logging data (e.g. copying, deleting, or modification, or even viewing)?",no,No risk,Detect,Partially Achieved,Partial monitoring of access to logging data,1. Enhance monitoring capabilities to cover all access activities related to logging data. 2. Implement automated alerting for suspicious access to logging data. 3. Regularly review and update access monitoring configurations to address emerging threats.,Policy is not availble,652
"The integrity of logging data is protected, or any modification is detected and attributed?",no,Low,Detect,Achieved,Integrity of logging data is protected or any modification is detected and attributed,1. Implement cryptographic hashing or digital signatures to ensure integrity of logging data. 2. Deploy intrusion detection systems (IDS) to detect unauthorized modifications to logging data. 3. Establish procedures for investigating and attributing modifications to logging data.,Policy is not availble,653
"The integrity of logging data is protected, or any modification is detected and attributed?",yes,No risk,Detect,Achieved,Integrity of logging data is protected or any modification is detected and attributed,1. Implement cryptographic hashing or digital signatures to ensure integrity of logging data. 2. Deploy intrusion detection systems (IDS) to detect unauthorized modifications to logging data. 3. Establish procedures for investigating and attributing modifications to logging data.,Policy is not availble,654
"The logging architecture has mechanisms, processes, and procedures to ensure that it can protect itself from threats comparative to those it is trying to identify. This includes protecting the service itself, and the data within it?",no,Low,Detect,Achieved,Logging architecture has mechanisms to protect itself from threats,1. Implement security controls such as firewalls and access controls to protect logging infrastructure. 2. Regularly update logging systems and software to mitigate known vulnerabilities. 3. Conduct periodic penetration testing to identify and address potential weaknesses in logging architecture.,Policy is not availble,655
"The logging architecture has mechanisms, processes, and procedures to ensure that it can protect itself from threats comparative to those it is trying to identify. This includes protecting the service itself, and the data within it?",yes,No risk,Detect,Achieved,Logging architecture has mechanisms to protect itself from threats,1. Implement security controls such as firewalls and access controls to protect logging infrastructure. 2. Regularly update logging systems and software to mitigate known vulnerabilities. 3. Conduct periodic penetration testing to identify and address potential weaknesses in logging architecture.,Policy is not availble,656
"Log data analysis and normalization is only performed on copies of the data, keeping the master copy unaltered?",no,Low,Detect,Achieved,"Log data analysis and normalization performed on copies, keeping master copy unaltered",1. Implement a separate data repository for log analysis and normalization processes. 2. Ensure master log data remains unaltered for forensic purposes. 3. Regularly synchronize and update analysis copies with the master log data to maintain accuracy.,Policy is not availble,657
"Log data analysis and normalization is only performed on copies of the data, keeping the master copy unaltered?",yes,No risk,Detect,Achieved,"Log data analysis and normalization performed on copies, keeping master copy unaltered",1. Implement a separate data repository for log analysis and normalization processes. 2. Ensure master log data remains unaltered for forensic purposes. 3. Regularly synchronize and update analysis copies with the master log data to maintain accuracy.,Policy is not availble,658
"Logging datasets are synchronized, using an accurate common time source, so separate datasets can be correlated in different ways?",no,Low,Detect,Achieved,Logging datasets synchronized using an accurate common time source,1. Implement time synchronization protocols across all logging datasets. 2. Ensure consistent time synchronization across different logging sources. 3. Regularly monitor and verify time synchronization to ensure accuracy and consistency.,Policy is not availble,659
"Logging datasets are synchronized, using an accurate common time source, so separate datasets can be correlated in different ways?",yes,No risk,Detect,Achieved,Logging datasets synchronized using an accurate common time source,1. Implement time synchronization protocols across all logging datasets. 2. Ensure consistent time synchronization across different logging sources. 3. Regularly monitor and verify time synchronization to ensure accuracy and consistency.,Policy is not availble,660
Access to logging data is limited to those with a business need and no others?,no,Low,Detect,Achieved,Access to logging data limited to those with a business need and no others,1. Define clear criteria for determining business need for accessing logging data. 2. Implement role-based access controls to restrict access based on business need. 3. Conduct regular access reviews to ensure compliance with access policies.,Policy is not availble,661
Access to logging data is limited to those with a business need and no others?,yes,No risk,Detect,Achieved,Access to logging data limited to those with a business need and no others,1. Define clear criteria for determining business need for accessing logging data. 2. Implement role-based access controls to restrict access based on business need. 3. Conduct regular access reviews to ensure compliance with access policies.,Policy is not availble,662
"All actions involving all logging data (e.g. copying, deleting, or modification, or even viewing) can be traced back to a unique user?",no,Low,Detect,Achieved,Actions involving logging data traceable back to unique user,1. Implement user authentication mechanisms for accessing logging data. 2. Log all actions involving logging data along with user identifiers. 3. Implement audit trails and review logs to trace actions back to specific users.,Policy is not availble,663
"All actions involving all logging data (e.g. copying, deleting, or modification, or even viewing) can be traced back to a unique user?",yes,No risk,Detect,Achieved,Actions involving logging data traceable back to unique user,1. Implement user authentication mechanisms for accessing logging data. 2. Log all actions involving logging data along with user identifiers. 3. Implement audit trails and review logs to trace actions back to specific users.,Policy is not availble,664
Legitimate reasons for accessing logging data are given in use policies?,no,Low,Detect,Achieved,Legitimate reasons for accessing logging data provided in use policies,1. Develop and enforce policies specifying legitimate reasons for accessing logging data. 2. Provide training to staff on acceptable use policies for logging data. 3. Regularly review and update use policies to reflect changes in business requirements and regulations.,Policy is not availble,665
Legitimate reasons for accessing logging data are given in use policies?,yes,No risk,Detect,Achieved,Legitimate reasons for accessing logging data provided in use policies,1. Develop and enforce policies specifying legitimate reasons for accessing logging data. 2. Provide training to staff on acceptable use policies for logging data. 3. Regularly review and update use policies to reflect changes in business requirements and regulations.,Policy is not availble,666
"Alerts from third-party security software are not investigated, e.g. Anti-Virus (AV) providers?",yes,High,Detect,Not Achieved,"Alerts from third-party security software are not investigated, e.g. Anti-Virus (AV) providers",1. Establish procedures for the investigation of alerts generated by third-party security software. 2. Train staff on the importance of investigating alerts and taking appropriate action. 3. Implement automated alert triage and response processes.,Policy is not availble,667
"Alerts from third-party security software are not investigated, e.g. Anti-Virus (AV) providers?",no,No risk,Detect,Not Achieved,"Alerts from third-party security software are not investigated, e.g. Anti-Virus (AV) providers",1. Establish procedures for the investigation of alerts generated by third-party security software. 2. Train staff on the importance of investigating alerts and taking appropriate action. 3. Implement automated alert triage and response processes.,Policy is not availble,668
Logs are distributed across devices with no easy way to access them other than manual login or physical action?,yes,High,Detect,Not Achieved,Logs are distributed across devices with no easy way to access them other than manual login or action,1. Implement centralized logging solutions to aggregate logs from distributed devices. 2. Deploy log management systems with secure remote access capabilities. 3. Establish secure access controls and authentication mechanisms for logging systems.,Policy is not availble,669
Logs are distributed across devices with no easy way to access them other than manual login or physical action?,no,No risk,Detect,Not Achieved,Logs are distributed across devices with no easy way to access them other than manual login or action,1. Implement centralized logging solutions to aggregate logs from distributed devices. 2. Deploy log management systems with secure remote access capabilities. 3. Establish secure access controls and authentication mechanisms for logging systems.,Policy is not availble,670
The resolution of alerts to a network asset or system is not performed?,yes,High,Detect,Not Achieved,The resolution of alerts to a network asset or system is not performed,1. Develop and implement procedures for mapping alerts to specific network assets or systems. 2. Integrate alert resolution processes into incident response procedures. 3. Regularly review and update asset inventory and configuration management databases.,Policy is not availble,671
The resolution of alerts to a network asset or system is not performed?,no,No risk,Detect,Not Achieved,The resolution of alerts to a network asset or system is not performed,1. Develop and implement procedures for mapping alerts to specific network assets or systems. 2. Integrate alert resolution processes into incident response procedures. 3. Regularly review and update asset inventory and configuration management databases.,Policy is not availble,672
Security alerts relating to essential services are not prioritized?,yes,High,Detect,Not Achieved,Security alerts relating to essential services are not prioritized,1. Develop criteria for prioritizing security alerts based on the criticality of essential services. 2. Implement automated alert prioritization mechanisms. 3. Train staff on the importance of prioritizing security alerts for essential services.,Policy is not availble,673
Security alerts relating to essential services are not prioritized?,no,No risk,Detect,Not Achieved,Security alerts relating to essential services are not prioritized,1. Develop criteria for prioritizing security alerts based on the criticality of essential services. 2. Implement automated alert prioritization mechanisms. 3. Train staff on the importance of prioritizing security alerts for essential services.,Policy is not availble,674
Logs are reviewed infrequently?,yes,High,Detect,Not Achieved,Logs are reviewed infrequently,1. Establish a regular schedule for log review activities. 2. Allocate dedicated resources for log review tasks. 3. Implement automated log analysis tools to identify anomalies and potential security incidents.,Policy is not availble,675
Logs are reviewed infrequently?,no,No risk,Detect,Not Achieved,Logs are reviewed infrequently,1. Establish a regular schedule for log review activities. 2. Allocate dedicated resources for log review tasks. 3. Implement automated log analysis tools to identify anomalies and potential security incidents.,Policy is not availble,676
"Alerts from third-party security software are investigated, and action taken?",yes,Medium,Detect,Partially Achieved,"Alerts from third-party security software are investigated, and action taken",1. Ensure staff are trained on investigating and responding to alerts from third-party security software. 2. Implement processes for analyzing and validating alerts from third-party sources. 3. Establish communication channels with third-party security vendors for support.,Policy is not availble,677
"Alerts from third-party security software are investigated, and action taken?",no,No risk,Detect,Partially Achieved,"Alerts from third-party security software are investigated, and action taken",1. Ensure staff are trained on investigating and responding to alerts from third-party security software. 2. Implement processes for analyzing and validating alerts from third-party sources. 3. Establish communication channels with third-party security vendors for support.,Policy is not availble,678
Some logging datasets can be easily queried with search tools to aid investigations?,yes,Medium,Detect,Partially Achieved,Some logging datasets can be easily queried with search tools to aid investigations,1. Implement centralized log management systems with advanced search capabilities. 2. Provide training to staff on using search tools effectively for log analysis. 3. Regularly review and update search queries and criteria for investigative purposes.,Policy is not availble,679
Some logging datasets can be easily queried with search tools to aid investigations?,no,No risk,Detect,Partially Achieved,Some logging datasets can be easily queried with search tools to aid investigations,1. Implement centralized log management systems with advanced search capabilities. 2. Provide training to staff on using search tools effectively for log analysis. 3. Regularly review and update search queries and criteria for investigative purposes.,Policy is not availble,680
The resolution of alerts to a network asset or system is performed regularly?,yes,Medium,Detect,Partially Achieved,The resolution of alerts to a network asset or system is performed regularly,1. Establish and adhere to procedures for consistently mapping alerts to specific network assets or systems. 2. Implement automated workflows for alert resolution and assignment. 3. Conduct regular audits to ensure accuracy and completeness of alert resolution.,Policy is not availble,681
The resolution of alerts to a network asset or system is performed regularly?,no,No risk,Detect,Partially Achieved,The resolution of alerts to a network asset or system is performed regularly,1. Establish and adhere to procedures for consistently mapping alerts to specific network assets or systems. 2. Implement automated workflows for alert resolution and assignment. 3. Conduct regular audits to ensure accuracy and completeness of alert resolution.,Policy is not availble,682
Security alerts relating to some essential services are prioritized?,yes,Medium,Detect,Partially Achieved,Security alerts relating to some essential services are prioritized,1. Develop criteria for prioritizing security alerts based on the criticality of essential services. 2. Implement manual or automated alert prioritization mechanisms. 3. Regularly review and update alert prioritization criteria based on evolving threat landscapes.,Policy is not availble,683
Security alerts relating to some essential services are prioritized?,no,No risk,Detect,Partially Achieved,Security alerts relating to some essential services are prioritized,1. Develop criteria for prioritizing security alerts based on the criticality of essential services. 2. Implement manual or automated alert prioritization mechanisms. 3. Regularly review and update alert prioritization criteria based on evolving threat landscapes.,Policy is not availble,684
Logs are reviewed at regular intervals?,yes,Medium,Detect,Partially Achieved,Logs are reviewed at regular intervals,"1. Establish a consistent schedule for log review activities, considering the frequency of log generation. 2. Allocate dedicated resources for regular log review tasks. 3. Implement automated log review processes to ensure timely analysis of log data.",Policy is not availble,685
Logs are reviewed at regular intervals?,no,No risk,Detect,Partially Achieved,Logs are reviewed at regular intervals,"1. Establish a consistent schedule for log review activities, considering the frequency of log generation. 2. Allocate dedicated resources for regular log review tasks. 3. Implement automated log review processes to ensure timely analysis of log data.",Policy is not availble,686
Logging data is enriched with other network knowledge and data when investigating certain suspicious activity or alerts?,no,Low,Detect,Achieved,Logging data is enriched with other network knowledge and data when investigating certain activity,"1. Implement integrations between logging systems and other network knowledge sources (e.g., asset inventory, threat intelligence). 2. Train staff on leveraging additional data sources for log analysis. 3. Regularly update data enrichment processes and sources.",Policy is not availble,687
Logging data is enriched with other network knowledge and data when investigating certain suspicious activity or alerts?,yes,No risk,Detect,Achieved,Logging data is enriched with other network knowledge and data when investigating certain activity,"1. Implement integrations between logging systems and other network knowledge sources (e.g., asset inventory, threat intelligence). 2. Train staff on leveraging additional data sources for log analysis. 3. Regularly update data enrichment processes and sources.",Policy is not availble,688
A wide range of signatures and indicators of compromise are used for investigations of suspicious activity and alerts?,no,Low,Detect,Achieved,A wide range of signatures and indicators of compromise are used for investigations,1. Deploy comprehensive threat intelligence feeds and signature databases for log analysis. 2. Train staff on recognizing and responding to various indicators of compromise. 3. Regularly update signature databases and threat intelligence feeds.,Policy is not availble,689
A wide range of signatures and indicators of compromise are used for investigations of suspicious activity and alerts?,yes,No risk,Detect,Achieved,A wide range of signatures and indicators of compromise are used for investigations,1. Deploy comprehensive threat intelligence feeds and signature databases for log analysis. 2. Train staff on recognizing and responding to various indicators of compromise. 3. Regularly update signature databases and threat intelligence feeds.,Policy is not availble,690
Alerts can be easily resolved to network assets using knowledge of networks and systems?,no,Low,Detect,Achieved,Alerts can be easily resolved to network assets using knowledge of networks and systems,1. Maintain accurate and up-to-date network asset inventories and configuration databases. 2. Implement automated correlation mechanisms to match alerts with network assets. 3. Regularly review and update asset mapping processes to ensure accuracy.,Policy is not availble,691
Alerts can be easily resolved to network assets using knowledge of networks and systems?,yes,No risk,Detect,Achieved,Alerts can be easily resolved to network assets using knowledge of networks and systems,1. Maintain accurate and up-to-date network asset inventories and configuration databases. 2. Implement automated correlation mechanisms to match alerts with network assets. 3. Regularly review and update asset mapping processes to ensure accuracy.,Policy is not availble,692
Security alerts relating to all essential services are prioritized and this information is used to support incident management?,no,Low,Detect,Achieved,Security alerts relating to all essential services are prioritized and used to support incident management,1. Develop criteria for prioritizing security alerts based on the criticality of all essential services. 2. Integrate alert prioritization into incident management processes. 3. Regularly review and update alert prioritization criteria based on incident response outcomes.,Policy is not availble,693
Security alerts relating to all essential services are prioritized and this information is used to support incident management?,yes,No risk,Detect,Achieved,Security alerts relating to all essential services are prioritized and used to support incident management,1. Develop criteria for prioritizing security alerts based on the criticality of all essential services. 2. Integrate alert prioritization into incident management processes. 3. Regularly review and update alert prioritization criteria based on incident response outcomes.,Policy is not availble,694
"Logs are reviewed almost continuously, in real-time?",no,Low,Detect,Achieved,"Logs are reviewed almost continuously, in real-time",1. Implement real-time log monitoring and analysis tools. 2. Allocate dedicated resources for continuous log review activities. 3. Establish automated alerting mechanisms for immediate notification of security incidents.,Policy is not availble,695
"Logs are reviewed almost continuously, in real-time?",yes,No risk,Detect,Achieved,"Logs are reviewed almost continuously, in real-time",1. Implement real-time log monitoring and analysis tools. 2. Allocate dedicated resources for continuous log review activities. 3. Establish automated alerting mechanisms for immediate notification of security incidents.,Policy is not availble,696
